NSID,W1GrssyrMP,W1yschat1,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualdad,W1wrkfulldad,W1wrkfullmum,W1empsdad,W1ch0_2HH,W1ch3_11HH,W1ch12_15HH,W1ch16_17HH,W1IndSchool,W1marstatmum,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W2ghq12scr,W2disc1YP,W2depressYP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6DebtattYP,W8DDEGP,W8DGHQSC,W8DMARSTAT,W8DACTIVITYC,W8DWRK,W8CMSEX,W8TENURE,W8QMAFI,W8GROW
NS23972X,14000,37,2,1,2,1,1,2,1,15,1,2,1,0,0,2,0,0,2,0,2,1,3,2,2,2,2,3,1,2,2,1,2,1,2,9,4,4,2,19,1,0,2,1,1,1,2,1,384.62
NS13371Y,13581,39,1,1,2,0,1,2,1,2,1,1,1,0,0,1,2,0,2,0,1,1,3,3,2,1,2,3,0,-1,2,1,2,2,2,9,4,4,2,8,0,1,1,1,1,2,4,3,384.62
NS21050V,11400,39,2,1,2,0,1,1,1,7,1,2,1,0,0,1,1,0,2,0,4,1,1,5,2,1,1,3,0,2,1,2,2,2,2,4,4,2,2,12,1,5,1,1,1,1,4,3,384.62
NS19636F,10935.6,31,1,1,1,0,1,2,1,15,1,1,1,0,0,1,1,0,2,0,1,1,2,3,2,2,-1,2,9,2,4,2,1,-91,-91,1,4,4,2,21,-1,3,1,1,1,2,4,3,384.62
NS10820Y,10000,30,3,1,2,0,1,1,1,15,1,-98,1,0,0,1,0,0,-98,1,1,1,1,5,2,1,1,3,0,2,2,1,2,2,2,9,4,4,2,11,1,1,1,1,1,2,4,2,384.62
NS20596V,9700,40,1,1,2,2,1,2,1,14,1,1,1,0,2,1,0,0,2,0,5,1,3,1,2,2,2,3,2,2,3,1,2,2,2,9,4,4,2,5,-1,6,1,1,1,2,7,2,384.62
NS18403T,8671,26,2,1,2,1,1,2,1,13,1,2,1,0,1,1,0,0,3,0,4,1,2,2,2,2,2,3,0,2,2,1,1,-91,-91,2,4,4,2,7,-1,0,1,1,1,2,2,2,384.62
NS12907K,7800,37,3,1,2,1,1,1,1,-98,-98,1,-98,0,1,1,1,0,6,1,4,1,2,2,2,2,2,3,0,2,1,1,2,1,2,3,4,1,2,10,0,0,1,1,1,1,2,1,384.62
NS21043D,7150,33,2,1,2,1,1,2,1,15,1,2,1,0,0,2,0,0,2,0,3,1,3,1,2,1,2,3,0,2,2,1,2,2,2,9,4,4,2,12,-1,0,1,1,1,1,1,2,384.62
NS14482R,6630,34,1,2,2,0,1,2,1,-98,-98,1,-98,0,0,1,0,0,1,1,7,6,1,2,2,2,2,3,3,2,3,2,1,-91,-91,1,4,4,2,10,-1,0,1,1,1,2,4,2,384.62
NS17146Y,6240,40,2,1,2,1,1,2,1,20,1,2,1,0,1,1,0,0,2,0,2,1,2,1,2,2,1,1,1,2,1,2,1,-91,-91,1,4,4,2,14,-1,11,1,1,1,1,4,1,384.62
NS18294R,6144,43,2,1,2,1,1,2,1,-99,1,2,1,0,1,1,0,1,2,0,-99,1,1,5,2,1,2,3,0,2,1,1,1,-91,-91,1,4,4,2,14,-1,-1,1,1,1,1,4,1,384.62
NS20952W,5494.32,44,2,1,2,1,1,2,1,9,1,2,1,0,1,1,0,0,2,0,1,1,1,3,2,2,2,2,0,2,1,2,1,-91,-91,1,4,4,2,16,0,0,1,1,1,1,7,2,384.62
NS13347W,5148,30,2,1,2,0,1,2,1,20,1,2,1,0,0,1,0,0,2,0,1,1,2,5,-1,2,1,3,3,2,2,1,1,-91,-91,1,4,4,2,17,0,1,1,1,1,1,4,3,384.62
NS22083C,4680,36,2,1,2,2,1,1,1,15,1,2,1,0,0,1,0,0,2,0,4,4,2,3,2,2,2,3,0,2,2,1,1,-91,-91,1,4,4,2,17,1,8,1,1,1,2,5,1,384.62
NS17444C,3785.6,38,2,2,2,1,1,2,1,2,1,2,1,0,1,1,0,0,2,0,2,1,1,1,2,2,2,3,6,2,4,1,2,1,2,4,4,2,2,12,1,0,1,1,1,2,2,1,384.62
NS13847G,1862.64,39,2,1,2,1,1,5,1,16,1,2,1,0,1,1,0,0,2,0,7,1,3,2,2,2,2,3,0,2,1,1,2,2,2,3,4,1,2,13,1,0,1,1,1,1,4,2,384.62
NS17134B,936,39,2,1,2,2,1,4,1,-98,-98,2,-98,1,1,2,1,0,4,1,6,1,1,-91,2,1,-1,3,0,2,2,2,2,1,2,9,4,4,2,15,1,2,1,1,1,1,4,2,384.62
NS17655C,-1,34,1,1,2,0,1,2,1,13,1,1,1,0,0,1,1,0,2,0,5,1,2,1,2,1,2,3,1,2,1,2,2,1,2,4,4,2,2,13,-1,0,1,1,1,1,5,2,384.62
NS11917J,-1,34,4,1,2,1,1,2,1,7,1,2,1,0,1,1,1,0,2,0,4,1,3,3,2,1,1,3,0,2,1,1,2,2,2,9,4,4,2,17,0,1,1,1,1,1,4,2,384.62
NS13543W,-1,16,1,1,2,0,1,2,1,4,2,1,2,0,0,1,0,0,2,0,2,1,2,2,1,1,1,3,0,2,1,1,2,2,2,9,4,4,2,16,0,9,1,1,1,1,5,5,384.62
NS19048P,-3,34,3,1,2,1,1,2,1,-99,1,1,1,0,0,2,2,0,2,0,-99,8,-1,3,-1,2,-1,3,3,2,1,1,2,2,2,9,4,4,2,10,0,0,1,1,1,1,1,1,384.62
NS22244E,-91,40,5,1,1,0,1,5,2,-98,-98,3,-98,0,0,1,0,0,5,1,8,4,2,2,2,1,1,3,5,1,3,2,1,-91,-91,1,4,4,2,13,-1,6,1,1,1,2,4,2,384.62
