NSID,W1GrssyrMP,W1yschat1,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualmum,W1wrkfulldad,W1wrkfullmum,W1ch0_2HH,W1ch3_11HH,W1ch12_15HH,W1ch16_17HH,W1IndSchool,W1marstatmum,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W2ghq12scr,W2disc1YP,W2depressYP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6DebtattYP,W8DDEGP,W8DGHQSC,W8DAGEYCH,W8DMARSTAT,W8DACTIVITYC,W8DWRK,W8CMSEX,W8TENURE,W8QMAFI,W8GROW,W8PUSA
NS16958R,-92,36,1,1,2,-99,1,2,1,-99,1,2,0,1,1,0,0,2,0,1,1,1,1,2,2,2,-99,1,2,2,2,1,-91,-91,1,4,4,2,15,-1,0,-1,1,1,1,2,4,1,923.79,6000
NS22074J,6697.6,39,2,2,1,0,1,6,2,15,-98,2,0,0,1,0,0,1,1,5,1,4,1,2,-92,2,3,4,2,3,2,2,2,2,9,4,4,2,10,0,1,-1,1,1,1,1,1,1,873,7001
NS25113E,-91,32,10,2,1,2,1,6,1,20,3,3,1,1,2,0,0,2,0,6,4,1,2,1,2,1,3,2,2,-1,1,2,2,2,9,4,4,2,14,0,2,0,2,1,1,1,7,2,423.08,8000
NS13828T,18000,30,1,1,2,0,1,2,1,4,1,1,0,0,2,0,0,2,0,2,1,2,1,2,1,2,3,0,2,1,1,2,2,2,9,4,4,2,8,0,0,0,1,1,1,2,2,1,306.71,8900
NS21519M,-91,41,10,1,1,2,1,2,2,20,3,3,0,0,3,2,0,2,0,-94,4,3,2,2,2,1,3,1,1,-1,2,2,1,2,5,1,4,2,14,-1,3,0,2,1,1,1,7,1,288.46,9000
NS21874F,5137.6,40,2,1,2,1,1,2,1,8,1,2,0,0,2,0,0,2,0,4,1,1,4,2,1,1,3,0,2,1,2,1,-91,-91,1,4,4,2,17,1,0,-1,1,1,1,1,2,1,674.06,9000
NS14053A,-91,31,10,1,1,1,1,1,1,16,-98,3,0,0,2,0,0,5,1,3,1,1,2,1,1,1,3,1,2,1,2,1,-91,-91,1,4,4,2,14,1,1,-1,1,1,1,1,4,2,317.31,10000
NS16015Q,6250.4,27,2,1,2,2,1,2,1,15,1,2,0,2,1,0,0,2,0,2,1,3,1,1,1,2,3,9,2,4,1,2,1,2,3,4,1,2,13,-1,0,3,2,9,2,1,4,1,423.08,10000
NS14542Q,-91,32,10,1,1,0,1,1,1,6,1,3,0,0,1,0,0,2,0,1,1,1,3,2,1,2,3,2,1,3,2,1,-91,-91,1,4,4,2,14,1,0,0,1,1,1,1,2,2,480.77,10500
NS14977N,2000,33,4,1,2,3,1,1,1,7,1,2,0,2,2,0,1,2,0,2,1,1,5,2,2,1,3,6,2,3,2,1,-91,-91,1,4,4,2,15,-1,0,-1,2,1,1,2,2,1,576.92,11000
NS24210H,3806.4,32,2,1,2,1,1,2,1,5,1,2,0,1,1,1,0,2,0,4,1,2,2,2,1,2,3,0,2,1,1,2,1,1,9,4,4,2,13,0,0,0,2,1,1,1,2,1,653.85,11000
NS21546S,-91,43,10,1,2,0,1,2,1,15,1,3,0,0,1,0,0,2,0,1,1,1,4,2,2,2,2,0,2,2,2,1,-91,-91,1,4,4,2,13,0,3,-1,1,1,1,1,4,2,673.08,11100
NS17640C,-91,36,10,1,1,2,1,2,1,2,1,3,0,2,1,0,0,2,0,2,1,1,5,2,2,1,3,3,2,2,1,2,2,2,1,4,4,2,15,-1,0,1,2,1,1,2,4,2,173.08,11660
